codigo_variable,descripcion,modulo_origen,estatus,criterio,razon_detallada
P753S2,Municipio,D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,"Municipio hace 12 meses. Migración, fuera del scope."
P753S3,En otro país,D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,"País hace 12 meses. Migración, fuera del scope."
P752,12A. El lugar donde vivía ... hace 12 meses era:,D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,Zona urbano/rural hace 12 meses. No usada.
P1662,13. ¿Cuál fue el principal motivo por el que ... Cambió el lugar donde residia hace 12 meses?,D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,"Motivo principal del cambio de residencia. Migración, fuera del scope."
P6081,14. El padre de ... ¿vive en este hogar?,D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,¿El padre vive en este hogar? Pregunta filtro no usada (P6087 ya se incluye independiente de coresidencia).
P6081S1,No. de orden,D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,Número de orden del padre. No usada.
P6087,15. ¿Cuál es o fue el nivel de educación más alto alcanzado por el padre de ...?,D - Características y composición del hogar,INCLUIDA,componente_de_educacion_max_padres,"Nivel educativo del padre (P6087) o la madre (P6088). Se combinan mediante max(P6087, P6088) para construir hh_educacion_max_padres_codigo (proxy de capital educativo familiar / movilidad intergeneracional)."
P6083,16. La madre de ... ¿vive en este hogar?,D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,¿La madre vive en este hogar? Pregunta filtro no usada (análogo a P6081).
P6083S1,No. de orden,D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,Número de orden de la madre. No usada.
P6088,17. ¿Cuál es o fue el nivel de educación más alto alcanzado por la madre de ...?,D - Características y composición del hogar,INCLUIDA,componente_de_educacion_max_padres,"Nivel educativo del padre (P6087) o la madre (P6088). Se combinan mediante max(P6087, P6088) para construir hh_educacion_max_padres_codigo (proxy de capital educativo familiar / movilidad intergeneracional)."
P6080,"18. De acuerdo con su cultura, pueblo o rasgos físicos, ... es o se reconoce comó:",D - Características y composición del hogar,INCLUIDA,insumo_directo_de_feature,"Variable cruda usada como insumo directo del pipeline → etnia_grupo, hh_etnia_grupo (4 categorías colapsadas)."
P2057,20. ¿Usted se considera campesino/a?,D - Características y composición del hogar,INCLUIDA,insumo_directo_de_feature,"Autoreconocimiento campesino (P2057 == 1). Se incluye como insumo directo para construir un feature binario derivado `hh_es_campesino`, que añade una dimensión de identidad rural/territorial complementaria a `zona_establecimiento` (universo más amplio, no restringido a estudiantes)."
P2059,21. ¿Usted considera que alguna vez fue campesino/a?,D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,¿Alguna vez fue campesino/a? No usada.
P2061,22. ¿Usted considera que la comunidad en que vive es campesina?,D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,¿La comunidad donde vive es campesina? No usada.
P1895,"23. En general, ¿qué tan satisfecho/a se siente ... con su vida actualmente?",D - Características y composición del hogar,EXCLUIDA,exclusion_revisada_escalas_bienestar,"Satisfacción con la vida (0-10). EXCLUIDA por decisión revisada: el bienestar subjetivo no aporta señal incremental a la brecha digital (Fisher ratio ≈ 0.014 en el Paso 4.5, el más bajo de todos los features evaluados). Al excluir las 6 escalas componentes, el feature derivado `hh_indice_bienestar_subjetivo` también queda excluido (no tiene insumos)."
P1896,"24. En general, ¿qué tan satisfecho/a se siente ... con su ingreso actualmente?",D - Características y composición del hogar,EXCLUIDA,exclusion_revisada_escalas_bienestar,"Satisfacción con el ingreso (0-10). EXCLUIDA por decisión revisada: el bienestar subjetivo no aporta señal incremental a la brecha digital (Fisher ratio ≈ 0.014 en el Paso 4.5, el más bajo de todos los features evaluados). Al excluir las 6 escalas componentes, el feature derivado `hh_indice_bienestar_subjetivo` también queda excluido (no tiene insumos)."
P1897,"25. En general, ¿qué tan satisfecho/a se siente ... con su salud actualmente?",D - Características y composición del hogar,EXCLUIDA,exclusion_revisada_escalas_bienestar,"Satisfacción con la salud (0-10). EXCLUIDA por decisión revisada: el bienestar subjetivo no aporta señal incremental a la brecha digital (Fisher ratio ≈ 0.014 en el Paso 4.5, el más bajo de todos los features evaluados). Al excluir las 6 escalas componentes, el feature derivado `hh_indice_bienestar_subjetivo` también queda excluido (no tiene insumos)."
P1898,"26. En general, ¿qué tan satisfecho/a se siente ... con su nivel de seguridad actualmente?",D - Características y composición del hogar,EXCLUIDA,exclusion_revisada_escalas_bienestar,"Satisfacción con el nivel de seguridad (0-10). EXCLUIDA por decisión revisada: el bienestar subjetivo no aporta señal incremental a la brecha digital (Fisher ratio ≈ 0.014 en el Paso 4.5, el más bajo de todos los features evaluados). Al excluir las 6 escalas componentes, el feature derivado `hh_indice_bienestar_subjetivo` también queda excluido (no tiene insumos)."
P1899,"27. En general, ¿qué tan satisfecho/a se siente ... con su trabajo/actividad actualmente?",D - Características y composición del hogar,EXCLUIDA,exclusion_revisada_escalas_bienestar,"Satisfacción con el trabajo o actividad (0-10). EXCLUIDA por decisión revisada: el bienestar subjetivo no aporta señal incremental a la brecha digital (Fisher ratio ≈ 0.014 en el Paso 4.5, el más bajo de todos los features evaluados). Al excluir las 6 escalas componentes, el feature derivado `hh_indice_bienestar_subjetivo` también queda excluido (no tiene insumos)."
P3175,"28. En general, ¿qué tan satisfecho/a se siente _____ con su tiempo libre?",D - Características y composición del hogar,EXCLUIDA,exclusion_revisada_escalas_bienestar,"Satisfacción con el tiempo libre (0-10). EXCLUIDA por decisión revisada: el bienestar subjetivo no aporta señal incremental a la brecha digital (Fisher ratio ≈ 0.014 en el Paso 4.5, el más bajo de todos los features evaluados). Al excluir las 6 escalas componentes, el feature derivado `hh_indice_bienestar_subjetivo` también queda excluido (no tiene insumos)."
P1901,29. ¿Qué tan feliz se sintió ... el día de ayer?,D - Características y composición del hogar,EXCLUIDA,exclusion_revisada_bloque_F_bienestar_extendido,"Felicidad sentida ayer (escala 0-10). Forma parte de la batería extendida de bienestar subjetivo (afecto del día anterior + Cantril). Se EXCLUYE de manera deliberada tras revisión del Bloque F: el índice principal `hh_indice_bienestar_subjetivo` ya consolida las 6 escalas de satisfacción duraderas (P1895-P3175), que son las relevantes para correlacionar con conectividad. Las escalas de afecto del día anterior y la escalera de Cantril miden estados emocionales o bienestar global subjetivo que no aportan señal incremental a la pregunta de investigación sobre brecha digital."
P1903,30. ¿Qué tan preocupado/a se sintió ... el día de ayer?,D - Características y composición del hogar,EXCLUIDA,exclusion_revisada_bloque_F_bienestar_extendido,"Preocupación sentida ayer (escala 0-10). Forma parte de la batería extendida de bienestar subjetivo (afecto del día anterior + Cantril). Se EXCLUYE de manera deliberada tras revisión del Bloque F: el índice principal `hh_indice_bienestar_subjetivo` ya consolida las 6 escalas de satisfacción duraderas (P1895-P3175), que son las relevantes para correlacionar con conectividad. Las escalas de afecto del día anterior y la escalera de Cantril miden estados emocionales o bienestar global subjetivo que no aportan señal incremental a la pregunta de investigación sobre brecha digital."
P1904,31. ¿Qué tan triste se sintió ... el día de ayer?,D - Características y composición del hogar,EXCLUIDA,exclusion_revisada_bloque_F_bienestar_extendido,"Tristeza sentida ayer (escala 0-10). Forma parte de la batería extendida de bienestar subjetivo (afecto del día anterior + Cantril). Se EXCLUYE de manera deliberada tras revisión del Bloque F: el índice principal `hh_indice_bienestar_subjetivo` ya consolida las 6 escalas de satisfacción duraderas (P1895-P3175), que son las relevantes para correlacionar con conectividad. Las escalas de afecto del día anterior y la escalera de Cantril miden estados emocionales o bienestar global subjetivo que no aportan señal incremental a la pregunta de investigación sobre brecha digital."
P1905,32. ¿Qué tanto considera ... que las cosas que hace en su vida valen la pena?,D - Características y composición del hogar,EXCLUIDA,exclusion_revisada_bloque_F_bienestar_extendido,"¿Las cosas que hace en su vida valen la pena? (escala 0-10). Forma parte de la batería extendida de bienestar subjetivo (afecto del día anterior + Cantril). Se EXCLUYE de manera deliberada tras revisión del Bloque F: el índice principal `hh_indice_bienestar_subjetivo` ya consolida las 6 escalas de satisfacción duraderas (P1895-P3175), que son las relevantes para correlacionar con conectividad. Las escalas de afecto del día anterior y la escalera de Cantril miden estados emocionales o bienestar global subjetivo que no aportan señal incremental a la pregunta de investigación sobre brecha digital."
P1927,33. ¿En cuál escalón diría usted que se encuentra parado/a en este momento?,D - Características y composición del hogar,EXCLUIDA,exclusion_revisada_bloque_F_bienestar_extendido,"Escalón de bienestar autopercibido — escalera de Cantril. Forma parte de la batería extendida de bienestar subjetivo (afecto del día anterior + Cantril). Se EXCLUYE de manera deliberada tras revisión del Bloque F: el índice principal `hh_indice_bienestar_subjetivo` ya consolida las 6 escalas de satisfacción duraderas (P1895-P3175), que son las relevantes para correlacionar con conectividad. Las escalas de afecto del día anterior y la escalera de Cantril miden estados emocionales o bienestar global subjetivo que no aportan señal incremental a la pregunta de investigación sobre brecha digital."
P3038,34. ¿Usted siente atracción sexual o romántica por?,D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,Atracción sexual o romántica. Fuera del scope del estudio de brecha digital.
P3039,35. ¿Usted se reconoce como?,D - Características y composición del hogar,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,Identidad de género/sexo (autoreconocimiento). Idem.
P6160,1. ¿Sabe leer y escribir?,G - Educación,INCLUIDA,insumo_directo_de_feature,Variable cruda usada como insumo directo del pipeline → edu_alfabetizado (bool == 1).
P8586,"2. ¿... actualmente estudia? (asiste al preescolar, escuela, colegio o universidad)",G - Educación,INCLUIDA,insumo_directo_de_feature,Variable cruda usada como insumo directo del pipeline → edu_asiste_actualmente (bool == 1).
P6218,3. ¿Cuál es la razón principal para que ... no estudie?,G - Educación,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,Razón principal para no estudiar. Variable cualitativa no usada en el diseño.
P8587,4. ¿Cuál es el nivel educativo más alto alcanzado por ... y el último año o grado aprobado en ese nivel?,G - Educación,INCLUIDA,insumo_directo_de_feature,"Variable cruda usada como insumo directo del pipeline → nivel_educativo_grupo, edu_nivel_grupo (4 categorías colapsadas)."
P8587S1,Grado o año aprobado,G - Educación,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,"Grado o año aprobado en el nivel más alto alcanzado. Granularidad mayor que P8587, no necesaria."
P6211,"5. ¿Cuántos años de estudios superiores (técnicos, tecnológicos, universitarios, de posgrado, etc.) ha realizado y aprobado?",G - Educación,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,Años de estudios superiores aprobados (para quien no estudia actualmente). No usada.
P1088,6. ¿En que nivel está matriculado/a ... y qué grado o año cursa?,G - Educación,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,"Nivel actualmente matriculado (para quien estudia). Granularidad alterna a P8587, no usada."
P1088S1,Grado o año que cursa,G - Educación,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,Grado o año que cursa actualmente. No usada.
P6216,"7. ¿Cuántos años de estudios superiores (técnicos, tecnológicos, universitarios, de postgrado, etc.) ha realizado y aprobado?",G - Educación,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,Años de estudios superiores aprobados (para quien estudia actualmente). No usada.
P5673,8. El establecimiento donde estudia ... es:,G - Educación,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,"Tipo de establecimiento educativo (público/privado). Posible variable de calidad educativa, no incluida."
P5674,Subsidiado?,G - Educación,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,¿El establecimiento es subsidiado? No usada.
P1101,9. ¿En qué jornada estudia ...?,G - Educación,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,Jornada de estudio (mañana/tarde/completa). No usada.
P3336,10. ¿En qué modalidad(es) o a través de qué medio(s) se encuentra estudiando ... actualmente?,G - Educación,EXCLUIDA,variable_paraguas_100_nan,"Cabecera de pregunta de respuesta múltiple: Modalidad de estudio (4 sub-variables). 100% NaN por diseño relacional; la información real vive en las sub-variables Sx, que se procesan por separado."
P3336S1,1. Presencial,G - Educación,EXCLUIDA,sub_variable_de_paraguas_no_usada,Sub-variable de P3336 (modalidad de estudio: presencial/virtual/etc.). No usada como feature.
P3336S2,"2. Virtual (a través de internet en computador de escritorio, portátil, tableta o celular)",G - Educación,EXCLUIDA,sub_variable_de_paraguas_no_usada,Sub-variable de P3336 (modalidad de estudio: presencial/virtual/etc.). No usada como feature.
P3336S3,3. Alternancia entre presencial y virtual,G - Educación,EXCLUIDA,sub_variable_de_paraguas_no_usada,Sub-variable de P3336 (modalidad de estudio: presencial/virtual/etc.). No usada como feature.
P3336S7,4. Otro,G - Educación,EXCLUIDA,sub_variable_de_paraguas_no_usada,Sub-variable de P3336 (modalidad de estudio: presencial/virtual/etc.). No usada como feature.
P3514,11. El establecimiento educativo se localiza en:,G - Educación,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,Localización del establecimiento educativo. Redundante con zona_establecimiento.
P3514S1,Departamento,G - Educación,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,"Sub-variable: departamento de localización del establecimiento educativo. Vinculado a P3514 (localización), tema no usado."
P3514S2,Municipio,G - Educación,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,Sub-variable: municipio de localización del establecimiento educativo. No usada.
P6223,11A. Este establecimiento está ubicado en:,G - Educación,INCLUIDA,insumo_directo_de_feature,Variable cruda usada como insumo directo del pipeline → zona_establecimiento (urbana/rural).
P4693,12. ¿Qué medio de transporte utiliza principalmente ... para ir a la institución a la que asiste?,G - Educación,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,Medio de transporte principal al establecimiento. No usada.
P6167,13. ¿Cuántos minutos gasta para ir a la institución a la que asiste?,G - Educación,EXCLUIDA,exclusion_revisada_logistica_educativa,"Minutos de desplazamiento al establecimiento educativo. EXCLUIDA tras revisión: variable de logística educativa (cuánto se tarda en llegar al colegio), con universo restringido a estudiantes y relación tenue con habilidades digitales. No es central para la pregunta de brecha digital del estudio. En cascada, el feature derivado `P6167_tratada` también queda excluido (huérfano)."
P6180,"14. ¿Recibe ... en el plantel educativo alimentos (desayunos, refrigerios, almuerzos) en forma gratuita o por un pago simbólico?",G - Educación,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,¿Recibe alimentos gratuitos o subsidiados en el plantel? No usada.
P6180S1,a. ¿Valor que paga DIARIO?,G - Educación,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,"Sub-variable: valor diario pagado por alimentos escolares. Vinculado a P6180 (alimentos en plantel), no usada."
P6180S2,"b. Si lo tuviera que comprar en otra parte, ¿cuánto pagaría al día por lo que recibe?",G - Educación,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,Sub-variable: valor de referencia de los alimentos. No usada.
P3337,15. ¿... tuvo comunicación con sus maestros la semana pasada?,G - Educación,EXCLUIDA,no_relevante_para_pregunta_de_investigacion,¿Tuvo comunicación con maestros la semana pasada? Pregunta filtro de la paraguas P3339. No usada.
P3339,16. ¿Cuál(es) medio(s) utiliza ... para comunicarse con sus maestros?,G - Educación,EXCLUIDA,variable_paraguas_100_nan,"Cabecera de pregunta de respuesta múltiple: Medios de comunicación con maestros (7 sub-variables). 100% NaN por diseño relacional; la información real vive en las sub-variables Sx, que se procesan por separado."
P3339S1,1. Mensaje de texto,G - Educación,EXCLUIDA,sub_variable_de_paraguas_no_usada,Sub-variable de P3339 (medios de comunicación con maestros). No usada.
P3339S2,2. Correo electrónico,G - Educación,EXCLUIDA,sub_variable_de_paraguas_no_usada,Sub-variable de P3339 (medios de comunicación con maestros). No usada.
P3339S3,3. Teléfono (llamadas de voz),G - Educación,EXCLUIDA,sub_variable_de_paraguas_no_usada,Sub-variable de P3339 (medios de comunicación con maestros). No usada.
P3339S4,"4. Aplicaciones en línea (videoconferencias en Zoom, Microsoft Teams, Skype, Google Meet, WebEx, Classroom, Integra, Google for Education, Aprender Digital contenido para todos)",G - Educación,EXCLUIDA,sub_variable_de_paraguas_no_usada,Sub-variable de P3339 (medios de comunicación con maestros). No usada.
